opportunity_id,account_name,account_specialty,account_state,account_providers,stage,win_probability,amount,products,lead_source,owner,region,created_date,close_date,days_in_stage
006762911649,Heritage Podiatry Medical Practice,Podiatry,NM,3,Closed Won,1.00,26700.00,EHR + PM,Existing Customer Expansion,Jennifer Ruiz,Southwest,2025-10-18,2026-02-14,41
006270202926,Advanced Urology Specialists,Urology,OK,2,Verbal Commit,0.85,41500.00,Full Suite,Conference,Jennifer Ruiz,Southwest,2026-02-24,2026-05-25,2
006870158503,Valley Dermatology Medical Practice,Dermatology,WY,5,Discovery,0.20,100200.00,Full Suite,Inbound Web,Alex Morrison,West,2025-12-26,2026-05-03,9
006803872247,Metro Otolaryngology Clinic,Otolaryngology,MS,8,Prospecting,0.10,68100.00,RCM Only,Conference,Marcus Williams,Southeast,2025-09-26,2025-11-03,36
006208878572,Mountain Urology Medical Center,Urology,TX,12,Demo Scheduled,0.30,112500.00,Full Suite,Inbound Web,Jennifer Ruiz,Southwest,2025-11-01,2026-02-12,45
006836398144,Central Urology Medical Center,Urology,AK,2,Discovery,0.20,48500.00,EHR + PM + RCM,Webinar,Alex Morrison,West,2026-02-04,2026-06-12,23
006208766570,Heritage Pain Healthcare Partners,Pain Management,AZ,5,Prospecting,0.10,51700.00,EHR + PM + RCM,Outbound BDR,Jennifer Ruiz,Southwest,2025-09-19,2025-11-27,20
006552005233,Valley Pain Medical Associates,Pain Management,NC,1,Discovery,0.20,75000.00,EHR + PM + RCM,Outbound BDR,Marcus Williams,Southeast,2025-10-06,2026-01-02,35
006124224978,Lakeside Podiatry Medical Practice,Podiatry,ID,1,Demo Complete,0.40,31400.00,Full Suite,Existing Customer Expansion,Alex Morrison,West,2026-01-10,2026-06-23,44
006602256908,Mountain Ophthalmology Clinic,Ophthalmology,MI,5,Prospecting,0.10,123900.00,EHR + PM + RCM,Conference,David Kim,Midwest,2026-01-17,2026-02-18,22
006565965351,Central Orthopedic Medical Center,Orthopedic Surgery,AK,3,Closed Won,1.00,180200.00,EHR + PM + RCM,Outbound BDR,Alex Morrison,West,2026-01-23,2026-07-18,22
006466632733,Palm Gastroenterology Specialty Group,Gastroenterology,WY,8,Prospecting,0.10,89500.00,EHR + PM + RCM,Referral,Alex Morrison,West,2025-11-25,2026-01-24,25
006247313897,Bay Area Pain Medical Center,Pain Management,IN,3,Demo Complete,0.40,35700.00,EHR + PM,Referral,David Kim,Midwest,2025-11-12,2026-04-20,27
006534140251,Sunrise Ophthalmology Medical Practice,Ophthalmology,TX,20,Demo Complete,0.40,90800.00,Full Suite,Referral,Jennifer Ruiz,Southwest,2026-01-08,2026-03-21,7
006978685790,Summit Gastroenterology Institute,Gastroenterology,PA,5,Negotiation,0.70,69800.00,EHR + PM,Conference,Sarah Chen,Northeast,2025-10-28,2026-01-14,38
006628835438,Palm Otolaryngology Specialty Group,Otolaryngology,ID,2,Negotiation,0.70,48600.00,Full Suite,Outbound BDR,Alex Morrison,West,2026-01-25,2026-04-24,29
006785226551,River Ophthalmology Specialty Group,Ophthalmology,OH,8,Closed Won,1.00,141000.00,EHR + PM,Inbound Web,David Kim,Midwest,2025-10-24,2026-03-29,13
006841738994,Metro Ophthalmology Specialists,Ophthalmology,AK,2,Demo Complete,0.40,89700.00,RCM Only,Outbound BDR,Alex Morrison,West,2025-11-13,2026-03-14,4
006541658748,Bay Area Ophthalmology Clinic,Ophthalmology,RI,12,Discovery,0.20,153000.00,EHR + PM,Partner,Sarah Chen,Northeast,2026-02-02,2026-05-03,9
006607880337,Highland Orthopedic Clinic,Orthopedic Surgery,NY,5,Verbal Commit,0.85,90500.00,Full Suite,Webinar,Sarah Chen,Northeast,2025-12-28,2026-05-22,25
006823940889,Advanced Urology Practice,Urology,NM,5,Verbal Commit,0.85,58600.00,RCM Only,Conference,Jennifer Ruiz,Southwest,2025-10-20,2026-02-07,24
006762617333,Valley Urology Specialty Group,Urology,GA,2,Demo Complete,0.40,65700.00,Full Suite,Referral,Marcus Williams,Southeast,2025-11-06,2026-02-10,34
006999645693,Mountain Podiatry Clinic,Podiatry,LA,3,Prospecting,0.10,33900.00,EHR,Referral,Marcus Williams,Southeast,2026-02-15,2026-03-28,7
006889343713,Palm Ophthalmology Specialty Group,Ophthalmology,NH,3,Demo Complete,0.40,123900.00,EHR + PM + RCM,Content Download,Sarah Chen,Northeast,2026-02-22,2026-07-11,4
006954321845,Heritage Podiatry Medical Practice,Podiatry,VT,2,Demo Scheduled,0.30,32000.00,EHR,Outbound BDR,Sarah Chen,Northeast,2025-12-11,2026-05-09,32
006323867694,River Podiatry Healthcare Partners,Podiatry,AZ,3,Prospecting,0.10,34500.00,EHR + PM,Webinar,Jennifer Ruiz,Southwest,2025-10-24,2025-11-25,25
006570105370,Heritage Orthopedic Center for Excellence,Orthopedic Surgery,VT,1,Discovery,0.20,118400.00,EHR + PM,Outbound BDR,Sarah Chen,Northeast,2025-09-29,2025-11-01,9
006997999616,Metro Otolaryngology Practice,Otolaryngology,CT,1,Discovery,0.20,36100.00,EHR + PM,Webinar,Sarah Chen,Northeast,2026-02-22,2026-06-28,4
006363331442,Lakeside Ophthalmology Specialists,Ophthalmology,MA,1,Negotiation,0.70,74400.00,RCM Only,Outbound BDR,Sarah Chen,Northeast,2025-11-20,2026-04-01,36
006276987281,Sunrise Dermatology Institute,Dermatology,GA,3,Prospecting,0.10,112600.00,EHR + PM + RCM,Outbound BDR,Marcus Williams,Southeast,2025-09-26,2025-12-13,43
006418913696,Premier Dermatology Practice,Dermatology,OK,5,Discovery,0.20,101200.00,Full Suite,Partner,Jennifer Ruiz,Southwest,2025-10-09,2026-02-09,23
006442576244,Bay Area Orthopedic Specialty Group,Orthopedic Surgery,NM,2,Discovery,0.20,67500.00,Full Suite,Outbound BDR,Jennifer Ruiz,Southwest,2026-02-14,2026-05-13,2
006214687292,Bay Area Plastic Practice,Plastic Surgery,FL,2,Demo Complete,0.40,95000.00,EHR + PM,Partner,Marcus Williams,Southeast,2025-11-09,2026-02-09,6
006835903338,Palm Podiatry Specialists,Podiatry,IN,1,Discovery,0.20,22800.00,EHR + PM + RCM,Webinar,David Kim,Midwest,2025-10-19,2026-04-11,18
006760027912,Lakeside Gastroenterology Specialty Group,Gastroenterology,SC,3,Prospecting,0.10,123900.00,EHR + PM,Referral,Marcus Williams,Southeast,2025-09-04,2026-02-26,9
006502606449,Lakeside Otolaryngology Institute,Otolaryngology,VA,3,Demo Complete,0.40,58200.00,EHR + PM + RCM,Partner,Marcus Williams,Southeast,2025-10-12,2026-01-08,42
006727372667,Mountain Gastroenterology Specialty Group,Gastroenterology,OR,2,Demo Scheduled,0.30,131700.00,EHR + PM,Conference,Alex Morrison,West,2025-12-17,2026-03-21,17
006507866171,Coastal Podiatry Clinic,Podiatry,VT,5,Demo Complete,0.40,61800.00,Full Suite,Webinar,Sarah Chen,Northeast,2025-10-08,2026-02-01,32
006172598442,Bay Area Dermatology Specialists,Dermatology,ME,8,Negotiation,0.70,78200.00,Full Suite,Referral,Sarah Chen,Northeast,2026-01-06,2026-04-03,5
006987733936,Lakeside Pain Clinic,Pain Management,AL,8,Discovery,0.20,78700.00,RCM Only,Referral,Marcus Williams,Southeast,2025-11-06,2026-03-15,4
006861929052,Palm Otolaryngology Practice,Otolaryngology,TN,2,Prospecting,0.10,86100.00,EHR + PM,Outbound BDR,Marcus Williams,Southeast,2025-11-21,2026-03-31,8
006295898793,Summit Pain Practice,Pain Management,CT,3,Demo Scheduled,0.30,85600.00,EHR,Partner,Sarah Chen,Northeast,2025-09-28,2026-02-21,10
006108817246,Palm Podiatry Practice,Podiatry,SC,3,Discovery,0.20,34500.00,EHR + PM,Conference,Marcus Williams,Southeast,2025-10-29,2025-12-25,2
006166787005,Advanced Urology Medical Practice,Urology,OK,8,Negotiation,0.70,94300.00,EHR,Outbound BDR,Jennifer Ruiz,Southwest,2025-11-06,2026-03-25,7
006795548849,Bay Area Podiatry Specialists,Podiatry,KS,2,Prospecting,0.10,64600.00,EHR + PM + RCM,Partner,David Kim,Midwest,2026-02-19,2026-06-24,4
006281247015,Premier Plastic Clinic,Plastic Surgery,CO,3,Demo Scheduled,0.30,78700.00,EHR,Content Download,Alex Morrison,West,2026-02-19,2026-03-29,1
006835216664,River Plastic Medical Associates,Plastic Surgery,NE,1,Demo Complete,0.40,47900.00,Full Suite,Content Download,David Kim,Midwest,2025-10-28,2025-12-01,23
006641652068,Mountain Ophthalmology Specialty Group,Ophthalmology,GA,3,Demo Complete,0.40,156400.00,EHR + PM,Conference,Marcus Williams,Southeast,2026-01-21,2026-03-15,36
006205947719,Premier Dermatology Specialists,Dermatology,IA,3,Demo Scheduled,0.30,101900.00,EHR + PM,Referral,David Kim,Midwest,2026-02-21,2026-08-06,5
006382397073,Heritage Plastic Clinic,Plastic Surgery,AZ,3,Proposal Sent,0.55,61800.00,EHR + PM + RCM,Webinar,Jennifer Ruiz,Southwest,2025-12-07,2026-05-03,38
006566492719,Highland Orthopedic Center for Excellence,Orthopedic Surgery,AZ,3,Demo Complete,0.40,141300.00,Full Suite,Outbound BDR,Jennifer Ruiz,Southwest,2026-01-21,2026-04-08,15
006372257497,Valley Otolaryngology Medical Practice,Otolaryngology,WA,5,Prospecting,0.10,71300.00,EHR + PM,Inbound Web,Alex Morrison,West,2026-02-23,2026-08-02,4
006159899555,Sunrise Gastroenterology Center for Excellence,Gastroenterology,VA,3,Closed Lost,0.00,68100.00,Full Suite,Inbound Web,Marcus Williams,Southeast,2025-12-18,2026-03-11,15
006968453446,Central Otolaryngology Specialty Group,Otolaryngology,RI,3,Prospecting,0.10,69100.00,EHR + PM,Inbound Web,Sarah Chen,Northeast,2026-02-20,2026-07-01,1
006596470466,Highland Pain Clinic,Pain Management,CT,1,Demo Scheduled,0.30,27500.00,EHR,Referral,Sarah Chen,Northeast,2025-11-26,2026-05-10,42
006868907386,Metro Podiatry Medical Associates,Podiatry,RI,1,Proposal Sent,0.55,72400.00,Full Suite,Webinar,Sarah Chen,Northeast,2025-10-26,2026-04-10,1
006543708113,Highland Pain Practice,Pain Management,CO,3,Discovery,0.20,86100.00,RCM Only,Inbound Web,Alex Morrison,West,2026-02-08,2026-03-17,14
006854655469,Coastal Otolaryngology Specialty Group,Otolaryngology,MA,2,Demo Complete,0.40,42100.00,RCM Only,Webinar,Sarah Chen,Northeast,2025-10-03,2025-11-07,20
006387722291,Bay Area Otolaryngology Center for Excellence,Otolaryngology,MI,5,Proposal Sent,0.55,40900.00,EHR + PM,Outbound BDR,David Kim,Midwest,2025-10-22,2026-02-21,4
006306516595,Advanced Plastic Practice,Plastic Surgery,CA,20,Prospecting,0.10,61600.00,EHR + PM,Inbound Web,Alex Morrison,West,2025-09-18,2025-12-14,26
006149483935,Heritage Dermatology Specialty Group,Dermatology,NV,5,Discovery,0.20,99400.00,Full Suite,Existing Customer Expansion,Alex Morrison,West,2026-01-30,2026-04-12,14
006786200756,Advanced Urology Center for Excellence,Urology,WA,3,Proposal Sent,0.55,116700.00,EHR + PM,Conference,Alex Morrison,West,2025-09-14,2025-12-01,40
006849416529,Metro Orthopedic Medical Practice,Orthopedic Surgery,ID,5,Prospecting,0.10,61600.00,EHR + PM,Referral,Alex Morrison,West,2026-01-09,2026-04-26,16
006926620880,Summit Pain Medical Practice,Pain Management,UT,8,Proposal Sent,0.55,65800.00,EHR,Inbound Web,Alex Morrison,West,2025-09-07,2025-12-14,1
006419997893,Highland Orthopedic Medical Practice,Orthopedic Surgery,NH,5,Discovery,0.20,110100.00,Full Suite,Existing Customer Expansion,Sarah Chen,Northeast,2025-10-23,2026-01-07,5
006820236956,Heritage Urology Medical Center,Urology,CO,2,Negotiation,0.70,89200.00,Full Suite,Content Download,Alex Morrison,West,2025-12-24,2026-06-03,44
006938881967,Heritage Orthopedic Healthcare Partners,Orthopedic Surgery,AL,3,Discovery,0.20,125900.00,EHR + PM + RCM,Webinar,Marcus Williams,Southeast,2026-01-28,2026-06-05,4
006918227288,Heritage Otolaryngology Medical Practice,Otolaryngology,TX,2,Prospecting,0.10,73100.00,EHR + PM + RCM,Content Download,Jennifer Ruiz,Southwest,2025-10-01,2026-03-07,27
006314397502,Valley Ophthalmology Medical Center,Ophthalmology,VA,1,Demo Scheduled,0.30,87500.00,Full Suite,Outbound BDR,Marcus Williams,Southeast,2025-10-21,2026-01-09,38
006811291463,Palm Gastroenterology Medical Center,Gastroenterology,OH,8,Prospecting,0.10,125300.00,EHR + PM + RCM,Outbound BDR,David Kim,Midwest,2025-11-19,2026-02-03,33
006720109241,Summit Podiatry Clinic,Podiatry,CT,3,Prospecting,0.10,68400.00,Full Suite,Inbound Web,Sarah Chen,Northeast,2025-09-10,2025-10-11,10
006176170202,River Dermatology Clinic,Dermatology,HI,5,Verbal Commit,0.85,104900.00,EHR + PM,Webinar,Alex Morrison,West,2025-10-31,2025-12-18,9
006337795695,Advanced Plastic Medical Associates,Plastic Surgery,MA,8,Proposal Sent,0.55,116000.00,EHR + PM,Outbound BDR,Sarah Chen,Northeast,2025-10-27,2026-03-01,26
006534646630,Highland Otolaryngology Specialists,Otolaryngology,AZ,5,Prospecting,0.10,51200.00,Full Suite,Inbound Web,Jennifer Ruiz,Southwest,2026-01-24,2026-04-15,26
006314996913,Coastal Otolaryngology Institute,Otolaryngology,IL,3,Discovery,0.20,50900.00,EHR,Inbound Web,David Kim,Midwest,2025-12-08,2026-03-10,26
006194126953,Summit Podiatry Medical Center,Podiatry,NC,1,Demo Complete,0.40,46700.00,EHR + PM + RCM,Outbound BDR,Marcus Williams,Southeast,2025-10-28,2025-12-12,37
006478088099,River Dermatology Medical Center,Dermatology,NM,3,Prospecting,0.10,80200.00,EHR + PM,Inbound Web,Jennifer Ruiz,Southwest,2026-02-01,2026-05-20,1
006923453261,Metro Pain Medical Practice,Pain Management,MI,5,Prospecting,0.10,41400.00,Full Suite,Webinar,David Kim,Midwest,2026-01-22,2026-06-29,18
006164399232,Advanced Plastic Practice,Plastic Surgery,NJ,8,Prospecting,0.10,49700.00,EHR,Referral,Sarah Chen,Northeast,2025-12-31,2026-04-08,37
006719006200,Premier Plastic Specialty Group,Plastic Surgery,UT,5,Closed Lost,0.00,119200.00,EHR + PM + RCM,Referral,Alex Morrison,West,2025-10-27,2026-04-04,32
006166125458,Palm Gastroenterology Specialty Group,Gastroenterology,TN,3,Discovery,0.20,147100.00,EHR + PM + RCM,Existing Customer Expansion,Marcus Williams,Southeast,2025-12-30,2026-03-02,17
006888966080,Palm Orthopedic Practice,Orthopedic Surgery,WV,3,Verbal Commit,0.85,98900.00,EHR + PM,Outbound BDR,Marcus Williams,Southeast,2025-12-21,2026-04-01,14
006234969976,Premier Plastic Clinic,Plastic Surgery,ID,3,Prospecting,0.10,122500.00,EHR + PM,Content Download,Alex Morrison,West,2026-01-02,2026-06-11,13
006502375535,Heritage Plastic Healthcare Partners,Plastic Surgery,CA,3,Proposal Sent,0.55,63500.00,EHR,Conference,Alex Morrison,West,2025-11-09,2026-04-29,44
006472864058,Mountain Plastic Healthcare Partners,Plastic Surgery,NJ,8,Negotiation,0.70,51500.00,EHR + PM + RCM,Webinar,Sarah Chen,Northeast,2025-12-07,2026-03-29,26
006398267634,Bay Area Plastic Healthcare Partners,Plastic Surgery,AK,2,Proposal Sent,0.55,116000.00,EHR + PM,Content Download,Alex Morrison,West,2025-10-20,2025-12-29,3
006816779093,Coastal Gastroenterology Medical Practice,Gastroenterology,KY,3,Verbal Commit,0.85,76200.00,Full Suite,Referral,Marcus Williams,Southeast,2025-10-10,2026-01-21,18
006291985493,River Ophthalmology Specialty Group,Ophthalmology,SC,3,Discovery,0.20,131000.00,EHR,Partner,Marcus Williams,Southeast,2025-10-30,2026-03-25,9
006733669021,Heritage Otolaryngology Medical Center,Otolaryngology,WI,8,Discovery,0.20,89500.00,EHR,Existing Customer Expansion,David Kim,Midwest,2025-09-11,2026-01-25,24
006807562913,Advanced Plastic Specialty Group,Plastic Surgery,NE,12,Proposal Sent,0.55,62700.00,EHR + PM + RCM,Content Download,David Kim,Midwest,2026-01-13,2026-07-04,10
006803183015,Premier Ophthalmology Specialists,Ophthalmology,GA,2,Demo Complete,0.40,79400.00,EHR,Existing Customer Expansion,Marcus Williams,Southeast,2025-09-21,2025-12-05,8
006852025845,Lakeside Orthopedic Specialty Group,Orthopedic Surgery,CT,3,Demo Scheduled,0.30,103700.00,EHR + PM,Referral,Sarah Chen,Northeast,2025-10-13,2026-03-01,21
006495873009,Premier Urology Healthcare Partners,Urology,NM,12,Negotiation,0.70,138000.00,EHR + PM,Content Download,Jennifer Ruiz,Southwest,2026-01-12,2026-05-18,16
006390808568,River Urology Medical Associates,Urology,VT,12,Proposal Sent,0.55,140000.00,EHR + PM,Content Download,Sarah Chen,Northeast,2026-01-18,2026-05-20,24
006527171261,Summit Ophthalmology Medical Associates,Ophthalmology,AK,1,Discovery,0.20,137500.00,EHR + PM + RCM,Webinar,Alex Morrison,West,2025-12-25,2026-04-04,18
006647292713,Advanced Plastic Institute,Plastic Surgery,KY,20,Demo Scheduled,0.30,104100.00,Full Suite,Outbound BDR,Marcus Williams,Southeast,2025-11-08,2026-02-26,2
006564296919,Advanced Gastroenterology Specialty Group,Gastroenterology,NM,1,Demo Complete,0.40,153400.00,EHR + PM + RCM,Referral,Jennifer Ruiz,Southwest,2025-11-15,2026-03-15,18
006580465700,Sunrise Pain Medical Center,Pain Management,FL,2,Prospecting,0.10,40600.00,EHR + PM,Inbound Web,Marcus Williams,Southeast,2025-09-16,2026-03-06,13
006346963970,Coastal Otolaryngology Medical Center,Otolaryngology,VT,20,Prospecting,0.10,56600.00,EHR + PM,Content Download,Sarah Chen,Northeast,2025-10-27,2026-03-05,36
006759046205,Lakeside Urology Center for Excellence,Urology,VT,5,Discovery,0.20,120300.00,Full Suite,Referral,Sarah Chen,Northeast,2025-12-09,2026-02-20,43
006586589496,Advanced Dermatology Center for Excellence,Dermatology,NY,12,Demo Complete,0.40,77000.00,EHR + PM + RCM,Webinar,Sarah Chen,Northeast,2026-01-09,2026-02-16,36
006523256552,Premier Pain Medical Practice,Pain Management,WA,2,Demo Scheduled,0.30,26800.00,EHR + PM + RCM,Existing Customer Expansion,Alex Morrison,West,2026-02-12,2026-06-19,1
006490487365,Valley Pain Specialists,Pain Management,ND,5,Discovery,0.20,78200.00,EHR,Referral,David Kim,Midwest,2026-02-24,2026-04-04,5
006480907842,Palm Ophthalmology Institute,Ophthalmology,ME,1,Demo Complete,0.40,110700.00,EHR + PM + RCM,Conference,Sarah Chen,Northeast,2025-10-03,2025-12-13,23
006533850322,Coastal Otolaryngology Practice,Otolaryngology,MS,1,Demo Complete,0.40,61400.00,RCM Only,Inbound Web,Marcus Williams,Southeast,2025-11-30,2026-01-04,20
006160929279,Coastal Plastic Medical Practice,Plastic Surgery,MO,5,Demo Complete,0.40,44700.00,EHR + PM,Conference,David Kim,Midwest,2025-10-15,2026-03-14,29
006411334333,Valley Podiatry Medical Practice,Podiatry,OK,2,Negotiation,0.70,45600.00,EHR + PM + RCM,Referral,Jennifer Ruiz,Southwest,2026-01-24,2026-04-15,7
006692784911,Bay Area Dermatology Specialty Group,Dermatology,KS,3,Demo Complete,0.40,109500.00,EHR + PM,Webinar,David Kim,Midwest,2025-11-23,2026-04-18,13
006170750086,Heritage Orthopedic Clinic,Orthopedic Surgery,IL,3,Prospecting,0.10,64900.00,Full Suite,Referral,David Kim,Midwest,2025-11-24,2026-03-10,11
006199968995,River Plastic Center for Excellence,Plastic Surgery,CO,8,Discovery,0.20,43300.00,EHR + PM + RCM,Inbound Web,Alex Morrison,West,2026-01-10,2026-04-03,32
006996639914,Summit Gastroenterology Specialty Group,Gastroenterology,HI,2,Prospecting,0.10,110000.00,EHR + PM,Content Download,Alex Morrison,West,2025-12-21,2026-05-06,29
006192147223,Sunrise Otolaryngology Medical Center,Otolaryngology,IN,8,Demo Scheduled,0.30,45500.00,EHR + PM + RCM,Outbound BDR,David Kim,Midwest,2025-11-04,2026-04-23,41
006571674765,Summit Otolaryngology Healthcare Partners,Otolaryngology,MA,12,Proposal Sent,0.55,60800.00,EHR,Webinar,Sarah Chen,Northeast,2025-12-24,2026-01-25,41
006856811187,Advanced Plastic Healthcare Partners,Plastic Surgery,VA,5,Demo Scheduled,0.30,47900.00,EHR + PM,Existing Customer Expansion,Marcus Williams,Southeast,2025-12-29,2026-06-06,42
006888524827,Advanced Plastic Medical Associates,Plastic Surgery,MA,3,Discovery,0.20,91400.00,RCM Only,Webinar,Sarah Chen,Northeast,2025-09-12,2026-02-14,27
006116922865,Bay Area Gastroenterology Specialty Group,Gastroenterology,NV,3,Demo Complete,0.40,132600.00,EHR,Outbound BDR,Alex Morrison,West,2026-02-16,2026-04-29,1
006879593217,Palm Podiatry Healthcare Partners,Podiatry,NY,12,Proposal Sent,0.55,53800.00,EHR + PM,Webinar,Sarah Chen,Northeast,2025-12-14,2026-01-13,3
